Наимнование;Цена;Метро;Ссылка
HTC One Dual Sim;4 000 руб.;м. Проспект Вернадского;https://www.avito.ru/moskva/telefony/htc_one_dual_sim_1157357753
HTC Desire X;1 300 руб.;м. Бульвар адмирала Ушакова;https://www.avito.ru/moskva/telefony/htc_desire_x_1111204100
HTC EVO 3D;2 000 руб.;м. Царицыно;https://www.avito.ru/moskva/telefony/htc_evo_3d_952933564
HTC Desire 728 16Гб, Черный, 1 SIM, 4G LTE, 3G;12 490 руб.;;https://www.avito.ru/moskva/telefony/htc_desire_728_16gb_chernyy_1_sim_4g_lte_3g_1086855952
HTC One e8. Продажа обмен;6 000 руб.;м. Котельники;https://www.avito.ru/moskva/telefony/htc_one_e8._prodazha_obmen_1052823659
Легендарные HTC / Все Модели;7 290 руб.;м. Волгоградский проспект;https://www.avito.ru/moskva/telefony/legendarnye_htc_vse_modeli_810951228
Samsung Galaxy S7 Edge, S8, S8+Power Bank бесплат;9 890 руб.;м. Марьино;https://www.avito.ru/moskva/telefony/samsung_galaxy_s7_edge_s8_s8power_bank_besplat_1015622086
Запчасти на любой телефон и планшет;299 руб.;;https://www.avito.ru/moskva/telefony/zapchasti_na_lyuboy_telefon_i_planshet_946795696
HTC Wildfire;2 300 руб.;м. Шипиловская;https://www.avito.ru/moskva/telefony/htc_wildfire_753525846
Htc 620;2 500 руб.;м. Юго-Западная;https://www.avito.ru/moskva/telefony/htc_620_1028596042
HTC 626;7 300 руб.;м. Савеловская;https://www.avito.ru/moskva/telefony/htc_626_895229139
Htc desire 400 dual sim;1 800 руб.;м. Рязанский проспект;https://www.avito.ru/moskva/telefony/htc_desire_400_dual_sim_937691007
HTC Desire HD a9191;2 500 руб.;м. Юго-Западная;https://www.avito.ru/moskva/telefony/htc_desire_hd_a9191_1009770101
HTC One X 32 GB;3 700 руб.;м. Пражская;https://www.avito.ru/moskva/telefony/htc_one_x_32_gb_1070238159
HTC One;1 000 руб.;м. Новокосино;https://www.avito.ru/moskva/telefony/htc_one_1079788837
HTC a3333 wildfire;800 руб.;м. Выхино;https://www.avito.ru/moskva/telefony/htc_a3333_wildfire_1044173059
HTC disaer hd 820 dual sim;7 000 руб.;м. Улица академика Янгеля;https://www.avito.ru/moskva/telefony/htc_disaer_hd_820_dual_sim_973348319
HTC One M9 plus;16 500 руб.;м. Беговая;https://www.avito.ru/moskva/telefony/htc_one_m9_plus_1062136746
Htc;800 руб.;м. Щелковская;https://www.avito.ru/moskva/telefony/htc_723626455
HTC M8 for Windows;8 500 руб.;м. Щелковская;https://www.avito.ru/moskva/telefony/htc_m8_for_windows_932555439
HTC ONE M8;6 000 руб.;м. Алтуфьево;https://www.avito.ru/moskva/telefony/htc_one_m8_940994975
HTC 10;20 000 руб.;м. Водный стадион;https://www.avito.ru/moskva/telefony/htc_10_1064383333
HTC desire 816 g;6 250 руб.;м. ВДНХ;https://www.avito.ru/moskva/telefony/htc_desire_816_g_1168596956
HTC U ultra ростест+переходники+ новый чехол;23 900 руб.;м. Марксистская;https://www.avito.ru/moskva/telefony/htc_u_ultra_rostestperehodniki_novyy_chehol_1031430538
Htc Desire 626 nanosim grey Новый;9 000 руб.;м. Новые Черемушки;https://www.avito.ru/moskva/telefony/htc_desire_626_nanosim_grey_novyy_817630419
HTC HD T8282;3 000 руб.;м. Новые Черемушки;https://www.avito.ru/moskva/telefony/htc_hd_t8282_546085620
Htc desire 816g dual sim+чёрный чехол;7 000 руб.;м. Университет;https://www.avito.ru/moskva/telefony/htc_desire_816g_dual_simchernyy_chehol_1133409836
HTC Sensation XE с Beats Audio;2 000 руб.;м. Ясенево;https://www.avito.ru/moskva/telefony/htc_sensation_xe_s_beats_audio_1202565865
HTC Sensation XL X315e 8GB 8Mp #людилюдям;4 400 руб.;м. Бабушкинская;https://www.avito.ru/moskva/telefony/htc_sensation_xl_x315e_8gb_8mp_lyudilyudyam_877664046
HTC HD 2;2 500 руб.;м. Бунинская аллея;https://www.avito.ru/moskva/telefony/htc_hd_2_917619522
HTC desire EYE;7 500 руб.;м. Алтуфьево;https://www.avito.ru/moskva/telefony/htc_desire_eye_936374860
HTC one dual sim black 32 gb;3 000 руб.;м. Молодежная;https://www.avito.ru/moskva/telefony/htc_one_dual_sim_black_32_gb_1011284131
HTC One M8 16Gb (серебристый) + оригинальный чехол;8 999 руб.;м. Площадь Ильича;https://www.avito.ru/moskva/telefony/htc_one_m8_16gb_serebristyy_originalnyy_chehol_944801120
HTC Desire 616 Dual Sim на запчасти;1 500 руб.;;https://www.avito.ru/moskva/telefony/htc_desire_616_dual_sim_na_zapchasti_1165352606
HTC Breeze 100 На запчасти;700 руб.;м. Римская;https://www.avito.ru/moskva/telefony/htc_breeze_100_na_zapchasti_687830577
HTC U11 64GB silver идеальное состояние;34 000 руб.;м. Курская;https://www.avito.ru/moskva/telefony/htc_u11_64gb_silver_idealnoe_sostoyanie_935306499
HTC 830 dual sim(оригенал Ростест);8 800 руб.;м. Трубная;https://www.avito.ru/moskva/telefony/htc_830_dual_simorigenal_rostest_1099178070
HTC Desire 500 Dual Sim;7 000 руб.;м. Царицыно;https://www.avito.ru/moskva/telefony/htc_desire_500_dual_sim_1130874472
Htc one m7+ Asus;8 000 руб.;м. Петровско-Разумовская;https://www.avito.ru/moskva/telefony/htc_one_m7_asus_1221302041
HTC one s;1 500 руб.;м. Жулебино;https://www.avito.ru/moskva/telefony/htc_one_s_950362177
HTC Touch Diamond;1 000 руб.;м. Достоевская;https://www.avito.ru/moskva/telefony/htc_touch_diamond_870314319
HTC desire A8181;700 руб.;м. Саларьево;https://www.avito.ru/moskva/telefony/htc_desire_a8181_1035702930
HTC One Mini 2 16Gb оригинал 4G/LTE рст Gray;7 500 руб.;м. Первомайская;https://www.avito.ru/moskva/telefony/htc_one_mini_2_16gb_original_4glte_rst_gray_997839224
HTC one e9s dual sim;8 000 руб.;м. Митино;https://www.avito.ru/moskva/telefony/htc_one_e9s_dual_sim_925824259
HTC T8290 MAX 4G Yota wimax;7 500 руб.;м. Тропарево;https://www.avito.ru/moskva/telefony/htc_t8290_max_4g_yota_wimax_960378066
HTC Wildfire S;4 000 руб.;м. Выхино;https://www.avito.ru/moskva/telefony/htc_wildfire_s_1182742255
HTC diamond 100;5 000 руб.;;https://www.avito.ru/moskva/telefony/htc_diamond_100_754261087
HTC m8 one;6 000 руб.;м. Красногвардейская;https://www.avito.ru/moskva/telefony/htc_m8_one_942753257
HTC Desire HD A9191;1 000 руб.;м. Лермонтовский проспект;https://www.avito.ru/moskva/telefony/htc_desire_hd_a9191_1194940075
